origin,dest,depart,duration,is_bus,origin_id,dest_id
630,633,4679,61,TRUE,601,602
630,634,4679,180,TRUE,601,603
630,635,4679,241,TRUE,601,604
630,636,4679,360,TRUE,601,605
630,637,4679,360,TRUE,601,606
630,638,4679,481,TRUE,601,607
630,640,4679,481,TRUE,601,608
630,641,4679,962,TRUE,601,609
631,634,4740,119,TRUE,602,603
631,635,4740,180,TRUE,602,604
631,636,4740,299,TRUE,602,605
631,637,4740,299,TRUE,602,606
631,638,4740,420,TRUE,602,607
631,640,4740,420,TRUE,602,608
631,641,4740,840,TRUE,602,609
632,635,4859,61,TRUE,603,604
632,636,4859,180,TRUE,603,605
632,637,4859,180,TRUE,603,606
632,638,4859,301,TRUE,603,607
632,640,4859,301,TRUE,603,608
632,641,4859,602,TRUE,603,609
633,636,4920,119,TRUE,604,605
633,637,4920,119,TRUE,604,606
633,638,4920,240,TRUE,604,607
633,640,4920,240,TRUE,604,608
633,641,4920,480,TRUE,604,609
634,637,5039,330,TRUE,605,606
634,638,5039,121,TRUE,605,607
634,640,5039,121,TRUE,605,608
634,641,5039,242,TRUE,605,609
635,638,5039,121,TRUE,606,607
635,640,5039,121,TRUE,606,608
635,641,5039,242,TRUE,606,609
636,640,5160,330,TRUE,607,608
636,641,5160,330,TRUE,607,609
637,642,5160,330,TRUE,608,609
639,642,3959,121,TRUE,610,611
639,643,3959,180,TRUE,610,612
639,644,3959,241,TRUE,610,613
639,645,3959,301,TRUE,610,614
639,646,3959,361,TRUE,610,615
639,647,3959,481,TRUE,610,616
639,649,3959,541,TRUE,610,617
639,650,3959,1082,TRUE,610,618
640,643,4080,59,TRUE,611,612
640,644,4080,120,TRUE,611,613
640,645,4080,180,TRUE,611,614
640,646,4080,240,TRUE,611,615
640,647,4080,360,TRUE,611,616
640,649,4080,420,TRUE,611,617
640,650,4080,840,TRUE,611,618
641,644,4139,61,TRUE,612,613
641,645,4139,121,TRUE,612,614
641,646,4139,181,TRUE,612,615
641,647,4139,301,TRUE,612,616
641,649,4139,361,TRUE,612,617
641,650,4139,722,TRUE,612,618
642,645,4200,60,TRUE,613,614
642,646,4200,120,TRUE,613,615
642,647,4200,240,TRUE,613,616
642,649,4200,300,TRUE,613,617
642,650,4200,600,TRUE,613,618
643,646,4260,60,TRUE,614,615
643,647,4260,180,TRUE,614,616
643,649,4260,240,TRUE,614,617
643,650,4260,480,TRUE,614,618
644,647,4320,120,TRUE,615,616
644,649,4320,180,TRUE,615,617
644,650,4320,360,TRUE,615,618
645,649,4440,60,TRUE,616,617
645,650,4440,120,TRUE,616,618
646,651,4500,120,TRUE,617,618
648,651,1740,60,TRUE,619,620
648,652,1740,180,TRUE,619,621
648,653,1740,239,TRUE,619,622
648,654,1740,239,TRUE,619,623
648,655,1740,300,TRUE,619,624
648,656,1740,419,TRUE,619,625
648,657,1740,480,TRUE,619,626
648,658,1740,540,TRUE,619,627
648,659,1740,660,TRUE,619,628
648,660,1740,720,TRUE,619,629
648,661,1740,840,TRUE,619,630
648,662,1740,900,TRUE,619,631
648,664,1740,1020,TRUE,619,632
648,665,1740,2040,TRUE,619,633
649,652,1800,120,TRUE,620,621
649,653,1800,179,TRUE,620,622
649,654,1800,179,TRUE,620,623
649,655,1800,240,TRUE,620,624
649,656,1800,359,TRUE,620,625
649,657,1800,420,TRUE,620,626
649,658,1800,480,TRUE,620,627
649,659,1800,600,TRUE,620,628
649,660,1800,660,TRUE,620,629
649,661,1800,780,TRUE,620,630
649,662,1800,840,TRUE,620,631
649,664,1800,960,TRUE,620,632
649,665,1800,1920,TRUE,620,633
650,653,1920,59,TRUE,621,622
650,654,1920,59,TRUE,621,623
650,655,1920,120,TRUE,621,624
650,656,1920,239,TRUE,621,625
650,657,1920,300,TRUE,621,626
650,658,1920,360,TRUE,621,627
650,659,1920,480,TRUE,621,628
650,660,1920,540,TRUE,621,629
650,661,1920,660,TRUE,621,630
650,662,1920,720,TRUE,621,631
650,664,1920,840,TRUE,621,632
650,665,1920,1680,TRUE,621,633
651,654,1979,330,TRUE,622,623
651,655,1979,61,TRUE,622,624
651,656,1979,180,TRUE,622,625
651,657,1979,241,TRUE,622,626
651,658,1979,301,TRUE,622,627
651,659,1979,421,TRUE,622,628
651,660,1979,481,TRUE,622,629
651,661,1979,601,TRUE,622,630
651,662,1979,661,TRUE,622,631
651,664,1979,781,TRUE,622,632
651,665,1979,1562,TRUE,622,633
652,655,1979,61,TRUE,623,624
652,656,1979,180,TRUE,623,625
652,657,1979,241,TRUE,623,626
652,658,1979,301,TRUE,623,627
652,659,1979,421,TRUE,623,628
652,660,1979,481,TRUE,623,629
652,661,1979,601,TRUE,623,630
652,662,1979,661,TRUE,623,631
652,664,1979,781,TRUE,623,632
652,665,1979,1562,TRUE,623,633
653,656,2040,119,TRUE,624,625
653,657,2040,180,TRUE,624,626
653,658,2040,240,TRUE,624,627
653,659,2040,360,TRUE,624,628
653,660,2040,420,TRUE,624,629
653,661,2040,540,TRUE,624,630
653,662,2040,600,TRUE,624,631
653,664,2040,720,TRUE,624,632
653,665,2040,1440,TRUE,624,633
654,657,2159,61,TRUE,625,626
654,658,2159,121,TRUE,625,627
654,659,2159,241,TRUE,625,628
654,660,2159,301,TRUE,625,629
654,661,2159,421,TRUE,625,630
654,662,2159,481,TRUE,625,631
654,664,2159,601,TRUE,625,632
654,665,2159,1202,TRUE,625,633
655,658,2220,60,TRUE,626,627
655,659,2220,180,TRUE,626,628
655,660,2220,240,TRUE,626,629
655,661,2220,360,TRUE,626,630
655,662,2220,420,TRUE,626,631
655,664,2220,540,TRUE,626,632
655,665,2220,1080,TRUE,626,633
656,659,2280,120,TRUE,627,628
656,660,2280,180,TRUE,627,629
656,661,2280,300,TRUE,627,630
656,662,2280,360,TRUE,627,631
656,664,2280,480,TRUE,627,632
656,665,2280,960,TRUE,627,633
657,660,2400,60,TRUE,628,629
657,661,2400,180,TRUE,628,630
657,662,2400,240,TRUE,628,631
657,664,2400,360,TRUE,628,632
657,665,2400,720,TRUE,628,633
658,661,2460,120,TRUE,629,630
658,662,2460,180,TRUE,629,631
658,664,2460,300,TRUE,629,632
658,665,2460,600,TRUE,629,633
659,662,2580,60,TRUE,630,631
659,664,2580,180,TRUE,630,632
659,665,2580,360,TRUE,630,633
