All relevant information about the map is below:

Total # of nodes: 43
# of robots: 5, robots_origin_location: {42: {2, 3}, 43: {1, 4, 5}}
# of requests: 5, request_pairs: [(1, 6), (2, 7), (3, 8), (4, 9), (5, 10)]
# of depots: 2, depot nodes: [42, 43]
# of service lines: 11
# of num transfers: 31, service lines mapping: {1: [11, 12, 13], 2: [14, 15, 16], 3: [17, 18, 19], 4: [20, 21, 22], 5: [23, 24, 25], 6: [26, 27, 28], 7: [29, 30, 31], 8: [32, 33, 34], 9: [35, 36, 37], 10: [38, 39, 40], 11: [41]}
public transportation factor: 0.8
map_size: 43
outsourcing cost: 3750
robots max travel time: 1000
request service time: 2
request half time window: 200
request max time: 400
depot capacity: 4
depot service time: 2
transfer capacity: 6
transfer service time: 2
request nodes time windows: {1: (0, 263), 2: (0, 287), 3: (0, 298), 4: (0, 286), 5: (0, 259), 6: (91, 430), 7: (0, 381), 8: (119, 430), 9: (0, 383), 10: (0, 383)}
transfer nodes departure time: {11: 62, 12: 79, 13: 97, 14: 235, 15: 251, 16: 267, 17: 163, 18: 179, 19: 195, 20: 178, 21: 197, 22: 216, 23: 210, 24: 225, 25: 241, 26: 264, 27: 278, 28: 295, 29: 266, 30: 283, 31: 300, 32: 164, 33: 180, 34: 198, 35: 131, 36: 147, 37: 163, 38: 41, 39: 56, 40: 73, 41: 116}
arcs info: --> (start node, end node): (time, cost, is public transportation arc? T/F)
   (1, 6): (10.0, 50.0, False)
   (1, 11): (8.06225774829855, 40.311288741492746, False)
   (1, 12): (13.341664064126334, 66.70832032063167, False)
   (1, 13): (32.64965543462902, 163.24827717314508, False)
   (1, 14): (18.867962264113206, 94.33981132056603, False)
   (1, 15): (3.1622776601683795, 15.811388300841898, False)
   (1, 16): (15.297058540778355, 76.48529270389177, False)
   (1, 17): (32.2490309931942, 161.24515496597098, False)
   (1, 18): (32.0, 160.0, False)
   (1, 19): (40.311288741492746, 201.55644370746373, False)
   (1, 20): (29.068883707497267, 145.34441853748635, False)
   (1, 21): (23.08679276123039, 115.43396380615195, False)
   (1, 22): (33.24154027718932, 166.20770138594662, False)
   (1, 23): (13.341664064126334, 66.70832032063167, False)
   (1, 24): (12.083045973594572, 60.41522986797286, False)
   (1, 25): (26.1725046566048, 130.86252328302402, False)
   (1, 26): (21.633307652783937, 108.16653826391969, False)
   (1, 27): (24.351591323771842, 121.75795661885921, False)
   (1, 28): (37.12142238654117, 185.60711193270583, False)
   (1, 29): (21.2602916254693, 106.3014581273465, False)
   (1, 30): (13.152946437965905, 65.76473218982953, False)
   (1, 31): (23.853720883753127, 119.26860441876563, False)
   (1, 32): (33.83784863137726, 169.1892431568863, False)
   (1, 33): (16.401219466856727, 82.00609733428364, False)
   (1, 34): (3.0, 15.0, False)
   (1, 35): (33.28663395418648, 166.43316977093238, False)
   (1, 36): (19.209372712298546, 96.04686356149273, False)
   (1, 37): (12.649110640673518, 63.24555320336759, False)
   (1, 38): (5.0, 25.0, False)
   (1, 39): (10.816653826391969, 54.083269131959845, False)
   (1, 40): (29.410882339705484, 147.05441169852742, False)
   (1, 41): (26.248809496813376, 131.24404748406687, False)
   (1, 42): (19.4164878389476, 97.082439194738, False)
   (1, 43): (16.64331697709324, 83.21658488546619, False)
   (2, 7): (17.72004514666935, 88.60022573334675, False)
   (2, 11): (34.0147027033899, 170.0735135169495, False)
   (2, 12): (30.23243291566195, 151.16216457830976, False)
   (2, 13): (37.013511046643494, 185.06755523321746, False)
   (2, 14): (42.941821107167776, 214.7091055358389, False)
   (2, 15): (35.4682957019364, 177.341478509682, False)
   (2, 16): (33.734255586866, 168.67127793433, False)
   (2, 17): (38.05259518088089, 190.26297590440447, False)
   (2, 18): (22.090722034374522, 110.45361017187261, False)
   (2, 19): (9.219544457292887, 46.09772228646443, False)
   (2, 20): (41.773197148410844, 208.86598574205422, False)
   (2, 21): (21.18962010041709, 105.94810050208545, False)
   (2, 22): (6.082762530298219, 30.413812651491096, False)
   (2, 23): (48.104053883222775, 240.52026941611388, False)
   (2, 24): (33.015148038438355, 165.07574019219177, False)
   (2, 25): (19.4164878389476, 97.082439194738, False)
   (2, 26): (43.86342439892262, 219.3171219946131, False)
   (2, 27): (30.805843601498726, 154.02921800749363, False)
   (2, 28): (20.248456731316587, 101.24228365658294, False)
   (2, 29): (41.23105625617661, 206.15528128088303, False)
   (2, 30): (26.248809496813376, 131.24404748406687, False)
   (2, 31): (17.11724276862369, 85.58621384311846, False)
   (2, 32): (41.048751503547585, 205.24375751773792, False)
   (2, 33): (36.235341863986875, 181.1767093199344, False)
   (2, 34): (39.66106403010388, 198.3053201505194, False)
   (2, 35): (40.049968789001575, 200.24984394500788, False)
   (2, 36): (41.14608122288197, 205.73040611440985, False)
   (2, 37): (48.08326112068523, 240.41630560342614, False)
   (2, 39): (26.40075756488817, 132.00378782444085, False)
   (2, 40): (7.810249675906654, 39.05124837953327, False)
   (2, 41): (30.4138126514911, 152.0690632574555, False)
   (2, 42): (17.804493814764857, 89.02246907382428, False)
   (2, 43): (34.88552708502482, 174.4276354251241, False)
   (3, 8): (23.853720883753127, 119.26860441876563, False)
   (3, 11): (30.364452901377952, 151.82226450688975, False)
   (3, 12): (25.0, 125.0, False)
   (3, 13): (32.01562118716424, 160.0781059358212, False)
   (3, 14): (37.589892258425, 187.94946129212502, False)
   (3, 15): (30.805843601498726, 154.02921800749363, False)
   (3, 16): (31.064449134018133, 155.32224567009067, False)
   (3, 17): (33.0, 165.0, False)
   (3, 18): (17.46424919657298, 87.3212459828649, False)
   (3, 19): (9.055385138137417, 45.27692569068709, False)
   (3, 20): (36.49657518178932, 182.4828759089466, False)
   (3, 21): (15.811388300841896, 79.05694150420948, False)
   (3, 22): (7.211102550927978, 36.05551275463989, False)
   (3, 23): (43.139309220245984, 215.69654610122993, False)
   (3, 24): (27.80287754891569, 139.01438774457844, False)
   (3, 25): (14.142135623730951, 70.71067811865476, False)
   (3, 26): (38.48376280978771, 192.41881404893857, False)
   (3, 27): (25.495097567963924, 127.47548783981962, False)
   (3, 28): (16.64331697709324, 83.21658488546619, False)
   (3, 29): (35.84689665786984, 179.2344832893492, False)
   (3, 30): (21.213203435596427, 106.06601717798213, False)
   (3, 31): (15.297058540778355, 76.48529270389177, False)
   (3, 32): (36.0, 180.0, False)
   (3, 33): (30.886890422961002, 154.43445211480503, False)
   (3, 34): (35.35533905932738, 176.7766952966369, False)
   (3, 35): (35.0, 175.0, False)
   (3, 36): (35.77708763999664, 178.88543819998318, False)
   (3, 37): (43.18564576337837, 215.92822881689185, False)
   (3, 38): (37.44329045369811, 187.21645226849057, False)
   (3, 39): (21.95449840010015, 109.77249200050075, False)
   (3, 40): (4.0, 20.0, False)
   (3, 41): (25.179356624028344, 125.89678312014172, False)
   (3, 42): (13.416407864998739, 67.0820393249937, False)
   (3, 43): (29.5296461204668, 147.648230602334, False)
   (4, 9): (29.068883707497267, 145.34441853748635, False)
   (4, 11): (10.63014581273465, 53.15072906367325, False)
   (4, 12): (7.211102550927978, 36.05551275463989, False)
   (4, 13): (27.202941017470888, 136.01470508735443, False)
   (4, 14): (17.26267650163207, 86.31338250816034, False)
   (4, 15): (4.47213595499958, 22.360679774997898, False)
   (4, 16): (17.204650534085253, 86.02325267042627, False)
   (4, 17): (27.018512172212592, 135.09256086106296, False)
   (4, 18): (25.019992006393608, 125.09996003196804, False)
   (4, 19): (33.54101966249684, 167.7050983124842, False)
   (4, 20): (25.0, 125.0, False)
   (4, 21): (16.0312195418814, 80.15609770940699, False)
   (4, 22): (27.80287754891569, 139.01438774457844, False)
   (4, 23): (17.204650534085253, 86.02325267042627, False)
   (4, 24): (7.211102550927978, 36.05551275463989, False)
   (4, 25): (19.1049731745428, 95.524865872714, False)
   (4, 26): (19.6468827043885, 98.2344135219425, False)
   (4, 27): (18.35755975068582, 91.7877987534291, False)
   (4, 28): (30.066592756745816, 150.33296378372907, False)
   (4, 29): (18.384776310850235, 91.92388155425118, False)
   (4, 30): (6.082762530298219, 30.413812651491096, False)
   (4, 31): (19.924858845171276, 99.62429422585637, False)
   (4, 32): (29.0, 145.0, False)
   (4, 33): (12.529964086141668, 62.64982043070834, False)
   (4, 34): (10.04987562112089, 50.24937810560445, False)
   (4, 35): (28.319604517012593, 141.59802258506295, False)
   (4, 36): (16.76305461424021, 83.81527307120106, False)
   (4, 37): (17.029386365926403, 85.14693182963201, False)
   (4, 38): (11.180339887498949, 55.90169943749474, False)
